DST0401*23  X220   0 -78 -73 -70 -72 -73 -70 -70 -67 -72 -66 -60 -47 -45 -47 -55 -58 -78 -78 -77 -75 -71 -72 -73 -60 -67
DST0401*24  X220   0 -52 -42 -42 -31 -24 -23 -35 -38 -41 -43 -42 -48 -38 -35 -38 -33 -29 -34 -40 -38 -39 -43 -41 -43 -38
DST0401*25  X220   0 -49 -56 -68 -81 -80 -70 -76 -79 -76 -77 -62 -55 -56 -56 -53 -55 -61 -70 -68 -64 -64 -60 -61 -59 -65
DST0401*26  X220   0 -56 -54 -46 -41 -39 -36 -38 -44 -40 -33 -32 -35 -32 -32 -31 -29 -31 -33 -35 -29 -37 -41 -35 -37 -37
DST0401*27  X220   0 -55 -62 -61 -55 -48 -43 -44 -41 -44 -40 -30 -23 -14 -12 -10  -7 -10 -15 -20 -13  -7  -3  -7 -11 -28
DST0401*28  X220   0 -13 -19 -24 -15 -14 -24 -32 -25 -20 -23 -16  -7  -5  -8 -11 -15 -18 -28 -26 -26 -16 -17 -16 -17 -18
DST0401*29  X220   0 -19 -19 -17 -17 -16 -18 -17 -13 -10  -7 -11 -19 -21 -18 -13  -9  -8  -8  -9  -8 -11 -15 -15 -11 -14
DST0401*30  X220   0  -7  -3  -5  -3  -1   0   4   5   4   1  -8  -9 -10 -18 -21 -24 -29 -27 -23 -16 -18 -16 -12 -12 -10
DST0401*31  X220   0  -8  -9 -10  -9  -9  -9 -11 -11 -14 -15 -13  -5  -7  -6  -8 -11 -12 -10 -13 -13 -16 -14 -11 -11 -11
DST0402*01  X220   0 -10 -10  -8 -11 -15 -16 -12 -13 -14 -12  -7  -2  -5  -9 -11 -15 -13 -11 -11 -10 -13 -17 -12  -7 -11
DST0402*02  X220   0  -8  -5  -6  -3  -3  -1  -8 -20 -21 -18 -10 -10  -4 -14 -16 -15 -14 -15 -18 -13 -10 -13 -11  -6 -11
DST0402*03  X220   0  -3  -2  -7 -13 -24 -25 -31 -33 -34 -27 -22 -20 -14 -16 -12 -15 -19 -16 -18 -18 -16 -15 -11  -6 -17
DST0402*04  X220   0  -5 -11  -9  -8  -9 -10 -12 -18 -21 -16 -12  -6 -10 -17 -22 -22 -23 -23 -23 -21 -20 -18 -15 -12 -15
DST0402*05  X220   0 -11 -12 -14 -16  -9  -4 -11 -14 -14 -15 -18 -10  -4  -7  -7  -6  -5  -8  -8  -5  -4  -2  -6  -4  -9
DST0402*06  X220   0   1   3   1   0  -3 -12 -21 -23 -14 -11 -18 -24 -22 -14 -11 -11 -20 -22 -28 -22 -17 -15 -10  -5 -13
DST0402*07  X220   0  -6 -10 -10  -9  -7  -7 -12 -18 -16 -14 -13  -9  -6  -7  -7  -9 -12 -11 -12 -16 -17 -16 -10  -7 -11
DST0402*08  X220   0  -7  -4   0   4   4   1  -2  -2  -3  -6  -5  -1   0   1   2   2   0   1   4   2   0  -1   0   3   0
DST0402*09  X220   0   6   8   5   7   6   6   3   1   1   3   4   9   9   5  -5  -9  -9  -9 -13 -22 -26 -28 -26 -26  -4
DST0402*10  X220   0 -22 -19 -18 -13  -9  -7  -6  -6  -8 -10  -9  -6  -8  -9  -9  -7  -4  -5  -2  -1   1   1  -1   0  -7
DST0402*11  X220   0   5   9   4  -1  -2   0   2   2   2   3   2  -4 -19 -29 -43 -67 -87 -93 -83 -76 -71 -72 -68 -55 -31
DST0402*12  X220   0 -47 -38 -30 -24 -25 -35 -40 -45 -49 -43 -49 -49 -39 -32 -32 -37 -46 -42 -38 -38 -35 -41 -50 -46 -40
DST0402*13  X220   0 -42 -37 -38 -41 -41 -41 -35 -31 -31 -26 -22 -24 -22 -23 -22 -31 -34 -33 -37 -35 -39 -38 -37 -38 -33
DST0402*14  X220   0 -37 -35 -39 -36 -33 -31 -31 -29 -23 -26 -34 -37 -33 -29 -30 -31 -36 -33 -31 -31 -30 -32 -30 -32 -32
DST0402*15  X220   0 -32 -33 -38 -40 -38 -34 -34 -37 -28 -33 -44 -42 -33 -30 -31 -34 -38 -42 -38 -33 -34 -31 -32 -35 -35
DST0402*16  X220   0 -32 -31 -30 -30 -29 -28 -26 -24 -24 -23 -24 -26 -27 -24 -23 -24 -25 -26 -25 -25 -21 -25 -23 -24 -26
DST0402*17  X220   0 -25 -22 -27 -24 -23 -22 -20 -21 -17 -17 -17 -16 -18 -19 -19 -19 -20 -18 -17 -19 -22 -24 -23 -21 -20
DST0402*18  X220   0 -22 -20 -17 -15 -17 -18 -15 -16 -15 -11 -12 -14 -13 -11 -10 -15 -18 -14 -11 -14 -23 -22 -20 -23 -16
DST0402*19  X220   0 -28 -21 -20 -19 -22 -21 -19 -16 -13 -14 -14 -13 -12  -9  -8 -10  -9  -8  -9 -13 -15 -14 -14 -15 -15
DST0402*20  X220   0  -9 -10 -11 -12 -13 -12 -10 -11  -9  -5  -5  -6  -6  -4  -6 -10 -15 -17 -17 -22 -22 -17 -14 -12 -11
DST0402*21  X220   0  -8  -5  -6  -2  -1  -2  -2  -2  -2  -1  -3  -5  -5  -7  -4  -3  -5  -4  -3  -1   3   3  -1  -6  -3
DST0402*22  X220   0  -8  -7  -3   2   6   4   3   3   2  -1  -5  -3   0  -2  -9  -8  -9  -7  -5  -8 -14 -12  -5  -2  -4
DST0402*23  X220   0  -3  -3  -8  -6  -2  -2  -4  -2   0   1   3  -5  -6  -2  -1   2   3   3  -2  -2  -3  -1 -10 -11  -3
DST0402*24  X220   0 -13 -10 -12 -11 -12 -11 -15 -13 -10 -10 -13 -16 -18 -18 -22 -20 -19 -19 -20 -20 -22 -18 -14 -11 -15
DST0402*25  X220   0 -10  -6  -7  -9 -12 -13 -13 -13 -12 -12 -11 -11 -10  -7  -7  -6  -5  -2  -2   1   4   6   3  -1  -6
DST0402*26  X220   0  -2  -5  -4  -5  -7  -5  -4   0   2   1  -2  -2  -3  -2   3   9  13  15  16  17  20  19  19  14   4
DST0402*27  X220   0  10  10   9   3   2   2   1   5  14  10   7   8  12  13  17  19  22  21  18   5 -12 -17 -10   0   7
DST0402*28  X220   0  -1  -6 -11 -10 -14 -16 -22 -22 -19 -10 -13 -23 -24 -19 -12 -11 -11  -8  -9 -12 -16 -20 -26 -20 -15
DST0402*29  X220   0 -15 -17 -20 -16 -17 -21 -16 -11  -7  -7  -9 -21 -22 -16 -14 -16 -16 -16 -20 -16 -10 -13 -11 -10 -15
DST0403*01  X220   0  -6  -7 -11 -11 -10 -13 -13 -10 -12 -16 -14 -13 -13 -10 -13 -20 -24 -15  -7 -11 -17 -24 -20 -18 -14
DST0403*02  X220   0 -23 -25 -22 -20 -25 -24 -19 -15 -16 -10  -9 -13 -15 -14 -22 -26 -21 -15 -11 -11 -14 -14  -6   0 -16
DST0403*03  X220   0   1   0  -7 -11 -12 -10  -7  -5  -2  -7 -13 -17 -13 -15 -14 -14 -11 -10  -8  -5  -2   0   3   3  -7
DST0403*04  X220   0   6   5   5   3  -4  -3  -2  -4  -3  -4  -7 -11 -12  -8  -7  -7  -6  -5  -2  -1  -3  -2   0   2  -3
DST0403*05  X220   0   1  -1  -6  -7  -4  -4  -8  -4  -3   0  -4  -3   0   2   3   3   2   2   5   6   2   0   0  -2  -1
DST0403*06  X220   0  -1  -1   0   2   3   1  -1   1   4   9  10   9   9  10  10   9   8   7   9  10   8   9  11  11   6
DST0403*07  X220   0   7   5   5   3   3   3   7   8   8   8   8   5   6   6   5   4   7   6   7   6   4   1  -2  -3   5
DST0403*08  X220   0  -1  -1   2   4   5   5   4   1  -5  -2   0   0   0   1   2   2   2   3   3   3   4   4   5   4   2
DST0403*09  X220   0   3   3   3   4   2   2   7   9   3   3   7  18  12   7  -4 -17 -28 -42 -58 -53 -40 -49 -70 -72 -15
DST0403*10  X220   0 -60 -60 -62 -72 -70 -78 -63 -60 -70 -57 -53 -46 -42 -41 -47 -43 -41 -37 -36 -43 -38 -43 -40 -42 -52
DST0403*11  X220   0 -42 -36 -32 -33 -36 -36 -31 -28 -24 -24 -20 -19 -19 -19 -18 -36 -37 -46 -38 -42 -47 -52 -62 -63 -35
DST0403*12  X220   0 -51 -50 -46 -51 -48 -47 -39 -40 -34 -32 -33 -29 -29 -27 -28 -27 -30 -30 -27 -25 -26 -26 -24 -23 -34
DST0403*13  X220   0 -25 -27 -26 -25 -22 -21 -30 -35 -36 -25 -24 -30 -28 -32 -35 -37 -34 -32 -29 -28 -33 -36 -34 -34 -30
DST0403*14  X220   0 -30 -28 -27 -26 -26 -28 -26 -24 -25 -26 -27 -34 -34 -24 -22 -24 -24 -23 -26 -34 -35 -36 -37 -36 -28
DST0403*15  X220   0 -31 -28 -28 -27 -29 -28 -23 -21 -20 -23 -22 -24 -23 -20 -14 -16 -21 -22 -28 -27 -18 -24 -25 -27 -24
DST0403*16  X220   0 -23 -24 -22 -20 -20 -24 -23 -16 -11 -10 -11 -14 -14 -17 -18 -14 -16 -13 -10 -12 -20 -23 -27 -27 -18
DST0403*17  X220   0 -27 -26 -21 -18 -22 -24 -20 -14 -10 -10 -12 -16 -16 -15 -12 -10  -8  -7  -8 -11 -14 -18 -18 -16 -16
DST0403*18  X220   0 -22 -22 -23 -25 -27 -25 -27 -26 -22 -19 -15 -15 -15 -16 -17 -16 -17 -15 -16 -22 -28 -26 -17 -13 -20
DST0403*19  X220   0 -13 -16 -17 -13 -14 -15 -14  -8  -2  -1  -1  -5  -6  -8  -9  -9  -8 -10 -10  -7  -6   0   3   3  -8
DST0403*20  X220   0   3  -2 -13 -15 -13  -9  -7  -4  -3  -3  -2   0  -1  -3   1  -1  -8  -6  -5 -11 -16 -18 -15 -11  -7
DST0403*21  X220   0 -10 -10  -6  -5  -5  -5  -5  -6  -3  -5  -4 -12 -19 -17 -12 -10 -14 -16 -15 -13 -12 -12  -8  -6 -10
DST0403*22  X220   0  -3  -6 -12 -11 -11  -7 -10  -9  -5  -6  -4  -5  -8  -8  -7  -7  -6  -6  -5  -6 -11 -13 -18 -24  -9
DST0403*23  X220   0 -24 -19 -14 -11  -9 -11 -12  -9  -5  -5  -5  -2  -1  -1   0  -1  -2  -3  -7 -10  -8  -9 -10 -10  -8
DST0403*24  X220   0  -6  -3  -5   0  -1  -1  -2   2   4   4   4   3   2   2   1   1   1   3   8   8   9  10   9  11   3
DST0403*25  X220   0  13  10   9  10  11  11  13  13  13  10  11  14  15  17  16  17  16  13   5   5   9  15  14  12  12
DST0403*26  X220   0  14  15  11  12  12  13  13  14  13   8   6   8   9   0  -9 -15 -12  -9  -3  -6 -13 -10  -6  -6   2
DST0403*27  X220   0  -5  -6  -7  -4   1   3   3   2   8   9   3  -5  -2  -1   0  -4  -6 -20 -17 -12 -12 -15 -35 -35  -7
DST0403*28  X220   0 -29 -26 -26 -33 -38 -34 -25 -21 -25 -27 -25 -23 -19 -17 -16 -17 -18 -20 -22 -22 -19 -19 -19 -17 -23
DST0403*29  X220   0 -14 -12 -14 -16 -16 -14 -11  -6  -6 -12 -13  -8  -3  -7 -13 -14 -17 -14 -10  -9  -8  -9 -11 -10 -11
DST0403*30  X220   0  -8  -5  -5  -6  -8  -7 -10  -9  -9  -6 -12 -17 -18 -19 -20 -18 -15 -12 -12 -13 -12 -10  -9  -9 -11
DST0403*31  X220   0 -11 -11 -10  -8  -7  -5  -4   0  -2  -1  -1  -3  -4  -6  -9 -11 -13 -13 -13 -13 -10  -7  -8  -8  -7
DST0404*01  X220   0  -6  -4  -2  -2  -3  -3  -3  -1  -1   0  -2  -5  -6  -9  -7  -3  -1  -1  -3  -6  -5  -2  -1  -1  -3
DST0404*02  X220   0  -1   1   4   7   9  10   7   9  11  10   8   4   5   6   5   2   1   0   2   4   4   4   3   5   5
DST0404*03  X220   0   7   9   5  -2  -6 -11 -10 -12 -11  -7  -8  -6  -1  -6  10   5 -15 -39 -64 -80 -69 -82 -92-104 -25
DST0404*04  X220   0-117 -99 -79 -73 -68 -64 -61 -56 -50 -41 -39 -36 -25 -21 -20 -10 -14 -14 -12  -8  -8 -15 -18 -10 -40
DST0404*05  X220   0 -11  -9  -6  -4  -2  -1   0   1   4   3  -2  -3   0  -6 -17 -16 -11 -32 -51 -62 -60 -57 -57 -52 -19
DST0404*06  X220   0 -57 -57 -39 -33 -35 -50 -58 -52 -46 -44 -47 -50 -45 -47 -43 -42 -44 -47 -46 -42 -38 -37 -36 -36 -45
DST0404*07  X220   0 -33 -30 -29 -26 -26 -21 -18 -18 -17 -20 -25 -27 -25 -23 -20 -19 -22 -21 -22 -23 -20 -25 -27 -29 -24
DST0404*08  X220   0 -28 -23 -20 -18 -16 -19 -18 -18 -21 -21 -25 -24 -19 -20 -21 -21 -25 -25 -27 -24 -20 -20 -19 -11 -21
DST0404*09  X220   0  -8 -15 -14 -19 -27 -19 -10 -18 -14 -20 -16 -11  -8 -10 -13 -13 -13 -12 -13 -10  -9 -13 -12 -11 -14
DST0404*10  X220   0 -10  -9 -10  -8  -6 -10 -15 -14 -12 -16 -16 -13  -7  -5  -5  -5  -4  -3  -3  -5   1  -8 -12  -7  -8
DST0404*11  X220   0 -11 -16 -28 -22 -15 -11  -9  -4  -8  -9 -11 -11 -10  -9  -8 -10 -15 -19 -17 -15 -15 -19 -18 -17 -14
DST0404*12  X220   0 -22 -25 -20 -15 -11 -10 -17 -14  -8 -12 -11  -8  -7  -7  -9 -12 -11 -10  -2  -7  -5  -5  -7 -10 -11
DST0404*13  X220   0 -14 -15 -12  -7  -6  -8  -8  -7  -6  -8 -10  -8 -11 -13 -11 -10 -12 -11 -10 -10  -7  -8 -10  -9 -10
DST0404*14  X220   0  -9  -8  -8  -5  -3  -2  -2  -4  -4   0   0   3   3   0  -1  -3  -4  -5  -8  -9  -9  -5  -4  -1  -4
DST0404*15  X220   0  -1   0   1   1   4   7   9  12  11  13  14   6   1  -1  -3  -5  -6  -6  -7  -7  -7  -7  -8  -8   1
DST0404*16  X220   0  -6  -3   1   7   3  -1 -17 -28 -30 -30 -23 -25 -28 -26 -22 -21 -17 -19 -17 -19 -20 -19 -18 -15 -16
DST0404*17  X220   0 -13 -12 -12 -11  -9  -4  -4  -2  -2  -4  -5  -4   0   1  -1  -1  -2  -3  -7 -13 -18 -18 -11 -11  -7
DST0404*18  X220   0  -9  -9  -7  -5  -6  -9 -10  -7  -6  -7  -9 -12 -11 -14 -18 -15  -8 -10 -17 -18 -16 -14 -14 -15 -11
DST0404*19  X220   0 -15 -14 -14 -12  -7 -10 -10  -8  -8  -6  -7  -7  -4   1   2  -1  -4  -6  -6  -5  -7  -8  -8  -6  -7
DST0404*20  X220   0  -4   1   3   4   6   7   5   3  -1   0   2   4   4   5   9  11  11  14  15  17  16  16  19  17   8
DST0404*21  X220   0   7   7   9  11  10   7  10   9   8   6   4   2   0   0   2   1   3   4   2   1   5   5   5   5   5
DST0404*22  X220   0   7   8   9  11  16  15  16  14  12  14  15  15  12  14  15  14  15  17  16  16  19  18  16  15  14
DST0404*23  X220   0  14  13   7  12   9  13  19  24  16  -2   2  11   8 -13 -28 -36 -32 -26 -21 -21 -22 -28 -24 -22  -5
DST0404*24  X220   0 -19 -15 -13 -11 -11  -8  -7 -11  -7   7   0  -1   4  -4  -3  -2   0   4   3   2  -1  -5   0   0  -4
DST0404*25  X220   0   0  -2  -2   1  -3  -5  -7  -6 -15 -18 -20 -14  -8 -10 -12 -14 -12  -7  -6  -3  -2  -4  -6  -6  -8
DST0404*26  X220   0  -7  -8  -9  -8  -4  -4  -1  -1  -3  -1   0   1   0  -3  -5  -6   5   8   8   0   0   1   4   4  -1
DST0404*27  X220   0   2   2   4   7  12  16  17  15  14  12  13  15  16  18  14   8   7   5   4   6   7   7   6   2  10
DST0404*28  X220   0   2   2   5   7   9  11  13  12  12  14  15  18  19  16  13   9   2   5   3  -2  -8  -8  -8  -7   6
DST0404*29  X220   0  -7  -7  -6  -2   0  -2  -2   1   1   0   0   3   6   5   4   2   2   3   3   1   3   5   8  11   1
DST0404*30  X220   0  11   8   1  -5 -10 -15 -12  -8 -11  -7  -3  -2  -1  -2   2   7   9  16  15  16  -5 -21 -34 -23  -3
